Datum,Schifffahrt
2013-01-01,247099
2013-01-02,247099
2013-01-03,247099
2013-01-04,247099
2013-01-05,247099
2013-01-06,247099
2013-01-07,247099
2013-01-08,247099
2013-01-09,247099
2013-01-10,247099
2013-01-11,247099
2013-01-12,247099
2013-01-13,247099
2013-01-14,247099
2013-01-15,247099
2013-01-16,247099
2013-01-17,247099
2013-01-18,247099
2013-01-19,247099
2013-01-20,247099
2013-01-21,247099
2013-01-22,247099
2013-01-23,247099
2013-01-24,247099
2013-01-25,247099
2013-01-26,247099
2013-01-27,247099
2013-01-28,247099
2013-01-29,247099
2013-01-30,247099
2013-01-31,247099
2013-02-01,317758
2013-02-02,317758
2013-02-03,317758
2013-02-04,317758
2013-02-05,317758
2013-02-06,317758
2013-02-07,317758
2013-02-08,317758
2013-02-09,317758
2013-02-10,317758
2013-02-11,317758
2013-02-12,317758
2013-02-13,317758
2013-02-14,317758
2013-02-15,317758
2013-02-16,317758
2013-02-17,317758
2013-02-18,317758
2013-02-19,317758
2013-02-20,317758
2013-02-21,317758
2013-02-22,317758
2013-02-23,317758
2013-02-24,317758
2013-02-25,317758
2013-02-26,317758
2013-02-27,317758
2013-02-28,317758
2013-03-01,433414
2013-03-02,433414
2013-03-03,433414
2013-03-04,433414
2013-03-05,433414
2013-03-06,433414
2013-03-07,433414
2013-03-08,433414
2013-03-09,433414
2013-03-10,433414
2013-03-11,433414
2013-03-12,433414
2013-03-13,433414
2013-03-14,433414
2013-03-15,433414
2013-03-16,433414
2013-03-17,433414
2013-03-18,433414
2013-03-19,433414
2013-03-20,433414
2013-03-21,433414
2013-03-22,433414
2013-03-23,433414
2013-03-24,433414
2013-03-25,433414
2013-03-26,433414
2013-03-27,433414
2013-03-28,433414
2013-03-29,433414
2013-03-30,433414
2013-03-31,433414
2013-04-01,484982
2013-04-02,484982
2013-04-03,484982
2013-04-04,484982
2013-04-05,484982
2013-04-06,484982
2013-04-07,484982
2013-04-08,484982
2013-04-09,484982
2013-04-10,484982
2013-04-11,484982
2013-04-12,484982
2013-04-13,484982
2013-04-14,484982
2013-04-15,484982
2013-04-16,484982
2013-04-17,484982
2013-04-18,484982
2013-04-19,484982
2013-04-20,484982
2013-04-21,484982
2013-04-22,484982
2013-04-23,484982
2013-04-24,484982
2013-04-25,484982
2013-04-26,484982
2013-04-27,484982
2013-04-28,484982
2013-04-29,484982
2013-04-30,484982
2013-05-01,761993
2013-05-02,761993
2013-05-03,761993
2013-05-04,761993
2013-05-05,761993
2013-05-06,761993
2013-05-07,761993
2013-05-08,761993
2013-05-09,761993
2013-05-10,761993
2013-05-11,761993
2013-05-12,761993
2013-05-13,761993
2013-05-14,761993
2013-05-15,761993
2013-05-16,761993
2013-05-17,761993
2013-05-18,761993
2013-05-19,761993
2013-05-20,761993
2013-05-21,761993
2013-05-22,761993
2013-05-23,761993
2013-05-24,761993
2013-05-25,761993
2013-05-26,761993
2013-05-27,761993
2013-05-28,761993
2013-05-29,761993
2013-05-30,761993
2013-05-31,761993
2013-06-01,727826
2013-06-02,727826
2013-06-03,727826
2013-06-04,727826
2013-06-05,727826
2013-06-06,727826
2013-06-07,727826
