Datum,Umsatz,Brot,Broetchen,Croissant,Konditorei,Kuchen,Saisonbrot
2013-07-01,148.828353112183,1,0,0,0,0,0
2013-07-02,159.79375714468,1,0,0,0,0,0
2013-07-03,111.885593514353,1,0,0,0,0,0
2013-07-04,168.864940979931,1,0,0,0,0,0
2013-07-05,171.280754117955,1,0,0,0,0,0
2013-07-06,174.552359998476,1,0,0,0,0,0
2013-07-07,92.6377553788373,1,0,0,0,0,0
2013-07-08,135.500244042392,1,0,0,0,0,0
2013-07-09,136.048382778344,1,0,0,0,0,0
2013-07-10,135.132314289581,1,0,0,0,0,0
2013-07-11,138.549392636714,1,0,0,0,0,0
2013-07-12,101.447511461298,1,0,0,0,0,0
2013-07-13,141.233309883732,1,0,0,0,0,0
2013-07-14,112.524365708762,1,0,0,0,0,0
2013-07-15,161.264677322182,1,0,0,0,0,0
2013-07-16,116.821358174215,1,0,0,0,0,0
2013-07-17,150.572919592838,1,0,0,0,0,0
2013-07-18,101.90072129658,1,0,0,0,0,0
2013-07-19,161.63511518654,1,0,0,0,0,0
2013-07-20,134.328076682024,1,0,0,0,0,0
2013-07-21,66.2887578161955,1,0,0,0,0,0
2013-07-22,131.223948997842,1,0,0,0,0,0
2013-07-23,110.315246796665,1,0,0,0,0,0
2013-07-24,141.891908195545,1,0,0,0,0,0
2013-07-25,167.701216640907,1,0,0,0,0,0
2013-07-26,147.272084366206,1,0,0,0,0,0
2013-07-27,161.403357795112,1,0,0,0,0,0
2013-07-28,86.0791432446654,1,0,0,0,0,0
2013-07-29,183.564164400591,1,0,0,0,0,0
2013-07-30,132.111640117897,1,0,0,0,0,0
2013-07-31,144.745431773143,1,0,0,0,0,0
2013-08-01,157.854023011106,1,0,0,0,0,0
2013-08-02,117.359342094889,1,0,0,0,0,0
2013-08-03,186.027178770079,1,0,0,0,0,0
2013-08-04,104.708216687715,1,0,0,0,0,0
2013-08-05,146.775309890073,1,0,0,0,0,0
2013-08-06,131.956277381283,1,0,0,0,0,0
2013-08-07,160.593417296116,1,0,0,0,0,0
2013-08-08,153.099424561652,1,0,0,0,0,0
2013-08-09,125.620344387906,1,0,0,0,0,0
2013-08-10,185.177162656408,1,0,0,0,0,0
2013-08-11,73.2088330039992,1,0,0,0,0,0
2013-08-12,154.504729536697,1,0,0,0,0,0
2013-08-13,134.064451548102,1,0,0,0,0,0
2013-08-14,156.972510536869,1,0,0,0,0,0
2013-08-15,164.763795399756,1,0,0,0,0,0
2013-08-16,147.79799759804,1,0,0,0,0,0
2013-08-17,221.630418006017,1,0,0,0,0,0
2013-08-18,92.489778506026,1,0,0,0,0,0
2013-08-19,145.87913275728,1,0,0,0,0,0
2013-08-20,111.842396126739,1,0,0,0,0,0
2013-08-21,125.336522713024,1,0,0,0,0,0
2013-08-22,132.916428220302,1,0,0,0,0,0
2013-08-23,162.958958703106,1,0,0,0,0,0
2013-08-24,201.543109556297,1,0,0,0,0,0
2013-08-25,83.0226725739551,1,0,0,0,0,0
2013-08-26,165.829031676714,1,0,0,0,0,0
2013-08-27,118.473650434102,1,0,0,0,0,0
2013-08-28,108.876991442649,1,0,0,0,0,0
2013-08-29,178.178023803315,1,0,0,0,0,0
2013-08-30,133.150828452892,1,0,0,0,0,0
2013-08-31,130.821314898435,1,0,0,0,0,0
2013-09-01,95.9704314892471,1,0,0,0,0,0
2013-09-02,138.408723210465,1,0,0,0,0,0
2013-09-03,138.825618927843,1,0,0,0,0,0
2013-09-04,100.221969526295,1,0,0,0,0,0
2013-09-05,173.658100347255,1,0,0,0,0,0
2013-09-06,171.415179710314,1,0,0,0,0,0
2013-09-07,186.034060963767,1,0,0,0,0,0
2013-09-08,88.8925958109828,1,0,0,0,0,0
2013-09-09,169.359968504942,1,0,0,0,0,0
2013-09-10,89.6944536084346,1,0,0,0,0,0
2013-09-11,103.363686559795,1,0,0,0,0,0
2013-09-12,106.474399987548,1,0,0,0,0,0
2013-09-13,122.564626199915,1,0,0,0,0,0
2013-09-14,174.938807466572,1,0,0,0,0,0
2013-09-15,55.1960062296304,1,0,0,0,0,0
2013-09-16,146.760234890658,1,0,0,0,0,0
2013-09-17,136.118044538363,1,0,0,0,0,0
2013-09-18,152.255085210606,1,0,0,0,0,0
2013-09-19,148.674992078993,1,0,0,0,0,0
2013-09-20,110.159250328825,1,0,0,0,0,0
2013-09-21,178.263887943827,1,0,0,0,0,0
2013-09-22,86.6668973821597,1,0,0,0,0,0
2013-09-23,111.128410563554,1,0,0,0,0,0
2013-09-24,139.64144576808,1,0,0,0,0,0
2013-09-25,117.94119333604,1,0,0,0,0,0
2013-09-26,203.314345156607,1,0,0,0,0,0
2013-09-27,135.507291692088,1,0,0,0,0,0
