Datum,Umsatz,Warengruppe,Brot,Broetchen,Croissant,Konditorei,Kuchen,national_holiday,christmas_market,KielerWoche,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,bewoelkt_bins_bewoelkt_1mäßig_3_5,bewoelkt_bins_bewoelkt_2stark_6_8,Monat,temp_bins_kalt,temp_bins_mild,temp_bins_warm,temp_bins_heiß,wind_bins_Wind,wind_bins_Sturm,Wettercode_cat,Wettercode_cat_condensed,Wettercode_0_keine_aussage,Wettercode_1_keine_beeintraechtigung,Wettercode_2_leichter_niederschlag,Wettercode_3_starker_niederschlag,Wettercode_4_gewitter,Wochentag_Di,Wochentag_Mi,Wochentag_Do,Wochentag_Fr,Wochentag_Sa,Wochentag_So
2013-12-28,,,,,,,,0.0,0.0,0.0,7.0,7.0625,9.0,21.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,
2014-05-03,,,,,,,,0.0,0.0,0.0,3.0,11.8625,13.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,
2014-05-04,,,,,,,,0.0,0.0,0.0,7.0,9.6,11.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,
2014-08-17,,,,,,,,0.0,0.0,0.0,7.0,15.65,13.0,61.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,
2016-03-24,,,,,,,,0.0,0.0,0.0,7.0,7.375,10.0,21.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,
2016-07-07,,,,,,,,0.0,0.0,0.0,6.0,18.25,11.0,21.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,
2016-07-18,,,,,,,,0.0,0.0,0.0,7.0,18.5,15.0,21.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,
2016-08-14,,,,,,,,0.0,0.0,0.0,6.0,18.125,12.0,21.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,Regen hat aufgehört,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,
2016-08-15,,,,,,,,0.0,0.0,0.0,5.0,18.625,11.0,0.0,1.0,0.0,8.0,0.0,1.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,
2016-12-17,,,,,,,,0.0,1.0,0.0,8.0,2.125,6.0,10.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,1.0,0.0,Feuchter Dunst,1_keine_beeintraechtigung,0.0,1.0,0.0,0.0,0.0,,,,,,
2017-07-04,,,,,,,,0.0,0.0,0.0,6.0,17.25,15.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,
2017-10-23,,,,,,,,0.0,0.0,0.0,7.0,11.95,8.0,61.0,0.0,1.0,10.0,0.0,1.0,0.0,0.0,1.0,0.0,Durchgehender leichter und nicht gefrierender Regen,2_leichter_niederschlag,0.0,0.0,1.0,0.0,0.0,,,,,,
2017-10-31,,,,,,,,0.0,0.0,0.0,,8.925,7.0,0.0,,,10.0,1.0,0.0,0.0,0.0,1.0,0.0,Bewölkungsentwicklung nicht beobachtet (NA),0_keine_aussage,1.0,0.0,0.0,0.0,0.0,,,,,,
