"Jahr";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024"
"Januar";"272263";"287580";"256022";"273283";"266571";"224465";"270902";"273440";"274327";"242615";"256580";"267420";"247099";"302451";"285513";"290027";"269633";"259471";"319372";"251832";"84839";"172311";"228581";"227533";
"Februar";"286539";"302510";"282783";"324141";"316655";"284472";"321853";"352248";"319842";"288134";"314771";"361798";"317758";"331167";"328016";"318608";"309153";"306568";"295839";"311277";"73656";"214368";"288605";"285086";
"Maerz";"338507";"519632";"379735";"359331";"465427";"269824";"400071";"509319";"338883";"397048";"347740";"373266";"433414";"379175";"380606";"440950";"350884";"396394";"346621";"167947";"107940";"294807";"285855";"385971";
"April";"589644";"566434";"621469";"582682";"478840";"749583";"656432";"486305";"598756";"615508";"634069";"570812";"484982";"590158";"534471";"474495";"586707";"503376";"581620";"51993";"117380";"500934";"508807";"442505";
"Mai";"601645";"754348";"720137";"665361";"760355";"727348";"754242";"797145";"731361";"732545";"642346";"696759";"761993";"662423";"710066";"757526";"687627";"720046";"631831";"125857";"289857";"612306";"638865";"647754";
"Juni";"917826";"985749";"867691";"834449";"785115";"840210";"815357";"805785";"765975";"781749";"808200";"724494";"727826";"766381";"702683";"719525";"788939";"761752";"1352381";"346504";"381829";"926512";"729938";"787754";
"Juli";"1386241";"1343218";"1208511";"1216638";"1377262";"1405300";"1323380";"1266349";"1288664";"1299548";"1226980";"1152678";"1233966";"1120624";"1109839";"1178874";"1191653";"1202697";"1171834";"631713";"753920";"1101832";"1100172";"�";
"August";"1242933";"1217694";"1169593";"1116894";"1182089";"1204387";"1222393";"1088057";"1134403";"1080444";"972265";"973099";"1000517";"1090559";"1167181";"1062021";"1049732";"977319";"952233";"608662";"778323";"988681";"983700";"�";
"September";"765113";"833126";"721871";"694000";"696302";"782536";"750131";"648075";"603473";"620908";"618083";"625142";"604839";"626936";"583529";"630817";"628698";"619121";"588834";"462816";"570399";"585600";"642675";"�";
"Oktober";"571921";"690553";"581080";"565162";"632731";"625229";"653285";"571314";"587615";"596431";"588873";"499846";"569884";"558597";"573696";"579690";"548999";"542900";"545150";"388768";"527353";"501500";"541061";"�";
"November";"322255";"387401";"321541";"316127";"353713";"346022";"374550";"355063";"330313";"336532";"398872";"323482";"345765";"378511";"347714";"338547";"345453";"308543";"362442";"154035";"278108";"290100";"304537";"�";
"Dezember";"319855";"327503";"318144";"340588";"356959";"401924";"412301";"394650";"370221";"329095";"346156";"369599";"381876";"368487";"359029";"380698";"389578";"352610";"367841";"123276";"256210";"319789";"333593";"�";

